commodityName,stat_year,market_month,textbox2,textbox3,Textbox9,Textbox13,Textbox11
"Strawberries, import value and volume history by market year (Fresh)",2022,Jan,"102,270","210,471,861",2.06,"102,270","210,471,861"
"Strawberries, import value and volume history by market year (Fresh)",2022,Feb,"102,849","209,887,632",2.04,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Mar,"14,941","11,513,374",0.77,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Apr,"18,632","13,333,787",0.72,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,May,"10,349","4,872,587",0.47,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Jun,"7,893","3,632,342",0.46,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Jul,"1,543","770,745",0.50,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Aug,95,"116,004",1.22,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Sep,28,"35,483",1.29,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Oct,236,"421,566",1.79,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Nov,"2,361","4,171,914",1.77,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Dec,"1,675","1,684,341",1.01,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2021,Jan,"87,408","188,620,318",2.16,"87,408","188,620,318"
"Strawberries, import value and volume history by market year (Fresh)",2021,Feb,"84,819","207,729,514",2.45,"172,227","396,349,832"
"Strawberries, import value and volume history by market year (Fresh)",2021,Mar,"92,297","199,598,905",2.16,"264,523","595,948,737"
"Strawberries, import value and volume history by market year (Fresh)",2021,Apr,"76,491","120,885,587",1.58,"341,014","716,834,324"
"Strawberries, import value and volume history by market year (Fresh)",2021,May,"34,865","45,609,494",1.31,"375,880","762,443,818"
"Strawberries, import value and volume history by market year (Fresh)",2021,Jun,"34,871","25,307,882",0.73,"410,751","787,751,700"
"Strawberries, import value and volume history by market year (Fresh)",2021,Jul,"11,983","9,058,075",0.76,"422,734","796,809,775"
"Strawberries, import value and volume history by market year (Fresh)",2021,Aug,"2,333","2,478,551",1.06,"425,067","799,288,326"
"Strawberries, import value and volume history by market year (Fresh)",2021,Sep,"1,342","1,624,591",1.21,"426,408","800,912,917"
"Strawberries, import value and volume history by market year (Fresh)",2021,Oct,"9,683","29,787,253",3.08,"436,092","830,700,170"
"Strawberries, import value and volume history by market year (Fresh)",2021,Nov,"32,309","92,472,955",2.86,"468,401","923,173,125"
"Strawberries, import value and volume history by market year (Fresh)",2021,Dec,"61,547","141,528,095",2.30,"529,948","1,064,701,220"
